pitcher_name,game_date,hitting_team,k,start,rolling_whiff_rate,rolling_chase_rate,roll_whiff,roll_chase,roll_barrel,SO_Prop
Alek Manoah,2023-05-15,NYY,3,TRUE,0.12233950260266051,0.28266820898399847,0.11240907118838668,0.12419122884532545,0.06944834614007553,4.5
Alek Manoah,2023-05-20,BAL,5,TRUE,0.11830223552191517,0.28328932699642084,0.11531367461668643,0.1475647629876272,0.04744755244755245,4.5
Alek Manoah,2023-05-25,TB,6,TRUE,0.12844716305814705,0.2684342545326527,0.11373527163616781,0.15444733855223103,0.05277636901801266,5.5
Alek Manoah,2023-05-31,MIL,2,TRUE,0.1312249408359248,0.2601009211993194,0.11566448996927248,0.13462762497307218,0.027226613965744394,5.5
Alex Cobb,2023-05-11,AZ,3,TRUE,0.1549260723173767,0.24130011017882874,0.10214183781740002,0.12972007328393276,0.03951626013737815,4.5
Alex Cobb,2023-05-16,PHI,3,TRUE,0.16921178660309097,0.24919484702093403,0.14404323347334744,0.18045832938294695,0.045392877798892846,5.5
Alex Cobb,2023-05-23,MIN,8,TRUE,0.14573352573352577,0.20962962962962967,0.15913912806911817,0.16578787756791724,0.03733742448028164,5.5
Alex Cobb,2023-05-28,MIL,5,TRUE,0.1571813371813372,0.26215488215488214,0.13286208158556947,0.13130061101388674,0.04731530576175327,5.5
Alex Cobb,2023-06-08,COL,7,TRUE,0.14910052910052912,0.292962962962963,0.13850921645293024,0.16029977982773452,0.03600555709919423,4.5
Alex Cobb,2023-06-13,STL,5,TRUE,0.18281481481481485,0.290962962962963,0.13953792724688252,0.14581617884602957,0.05945165945165946,5.5
Alex Cobb,2023-06-30,NYM,3,TRUE,0.20492007797270956,0.31359454191033137,0.12103671075630282,0.14700741494995714,0.06891408050093248,4.5
Alex Wood,2023-05-21,MIA,5,TRUE,0.18734335839598998,0.18781119465329993,0.11336739054610509,0.1740804307620985,0.03105974402912016,4.5
Alex Wood,2023-05-26,MIL,5,TRUE,0.20722639933166248,0.20710944026733502,0.12650002259193155,0.1250076349840686,0.06380826679465364,5.5
Alex Wood,2023-05-31,PIT,4,TRUE,0.1822263993316625,0.19377610693400169,0.1272995601126416,0.11222342610417668,0.04949251079979007,4.5
Alex Wood,2023-06-22,SD,2,TRUE,0.1703216374269006,0.2568713450292398,0.09477953453395829,0.13369119481742286,0.020461891850065566,4.5
Andrew Heaney,2023-05-09,SEA,7,TRUE,0.19260606060606061,0.27078787878787874,0.14116298863881918,0.12637335755623696,0.042495064454477816,6.5
Andrew Heaney,2023-05-14,OAK,9,TRUE,0.14964309764309766,0.20782491582491583,0.12393873341948343,0.12743065540360496,0.06149648337595905,6.5
Andrew Heaney,2023-05-21,COL,5,TRUE,0.19051266286048898,0.21739013321622017,0.14350458430458435,0.1715260295260295,0.04407786219728568,6.5
Andrew Heaney,2023-05-27,BAL,3,TRUE,0.19717932952715564,0.22405679988288685,0.12072924525356821,0.15801478791486323,0.047425247314709366,5.5
Andrew Heaney,2023-06-09,TB,5,TRUE,0.19667853207898978,0.20318120179676247,0.1460289894406055,0.15981722538436866,0.04258420982558913,4.5
Andrew Heaney,2023-06-14,LAA,5,TRUE,0.20726054266100036,0.21376321237877302,0.14951546440137037,0.1359946863288682,0.07353398684156537,5.5
Andrew Heaney,2023-06-26,DET,5,TRUE,0.16136933242196402,0.18688197767145137,0.14846211814031146,0.15763416411152745,0.018781815051602015,6.5
Anthony DeSclafani,2023-05-13,AZ,2,TRUE,0.10594943019943022,0.24760541310541312,0.099040892868629,0.1302228072649276,0.029624874926844003,3.5
