Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
Kody Clemens,PHI,49,148,4,15,13,0,5.40%,27.00%,0.137,0.295,0.23,0.277,0.367,0.281,0.27,73,0.6,-4.4,0,0.1
Carson Kelly,2 Tms,52,151,2,13,13,1,9.30%,26.50%,0.081,0.274,0.206,0.278,0.287,0.255,0.241,56,0.5,-7.5,3,0.1
Raimel Tapia,3 Tms,64,169,3,28,13,10,10.10%,23.70%,0.101,0.302,0.236,0.317,0.338,0.293,0.302,80,2.4,-1.7,-3.4,0.1
Heston Kjerstad,BAL,13,33,2,3,3,0,6.10%,30.30%,0.233,0.278,0.233,0.281,0.467,0.318,0.364,104,0,0.1,-0.7,0.1
Ceddanne Rafaela,BOS,28,89,2,11,5,3,4.50%,31.50%,0.145,0.333,0.241,0.281,0.386,0.287,0.239,74,0,-2.7,0.3,0.1
Bryce Johnson,SFG,30,48,1,7,3,3,8.30%,31.30%,0.093,0.214,0.163,0.229,0.256,0.218,0.243,35,1.8,-2,0.9,0.1
Charlie Culberson,ATL,1,1,0,0,0,0,0.00%,0.00%,0,1,1,1,1,0.883,0.059,475,0,0.5,0,0
Vinnie Pasquantino,KCR,61,260,9,24,26,0,9.60%,11.90%,0.19,0.25,0.247,0.324,0.437,0.327,0.35,103,-2.7,-1.7,-6.7,0
Joey Votto,CIN,65,242,14,26,38,0,11.20%,25.60%,0.231,0.212,0.202,0.314,0.433,0.326,0.304,98,-0.6,-1.1,-6.7,0
Andrew Stevenson,MIN,25,40,0,4,1,4,5.00%,20.00%,0.027,0.241,0.189,0.25,0.216,0.216,0.202,32,0.5,-2.7,1.7,0
Conner Capel,OAK,32,86,0,6,3,5,14.00%,29.10%,0.068,0.396,0.26,0.372,0.329,0.322,0.299,109,-0.7,0.2,-2.8,0
Drew Maggi,PIT,3,6,0,1,1,0,0.00%,16.70%,0.167,0.4,0.333,0.333,0.5,0.354,0.409,121,0,0.2,0,0
Nathan Lukes,TOR,29,31,0,4,2,0,12.90%,29.00%,0.115,0.278,0.192,0.29,0.308,0.266,0.276,67,0.4,-0.8,0,0
Alfonso Rivas,2 Tms,48,123,3,8,15,1,7.30%,29.30%,0.193,0.31,0.229,0.303,0.422,0.313,0.284,94,-0.5,-1.3,-2.6,0
