Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
Wilyer Abreu,BOS,28,85,2,10,14,3,10.60%,27.10%,0.158,0.431,0.316,0.388,0.474,0.375,0.355,135,-0.6,2.9,-0.2,0.6
Ty France,SEA,158,665,12,79,58,1,6.50%,17.60%,0.116,0.294,0.25,0.337,0.366,0.315,0.339,104,-9.8,-7,-10.2,0.5
Iván Herrera,STL,13,44,0,6,4,0,11.40%,25.00%,0.054,0.423,0.297,0.409,0.351,0.349,0.342,122,0.6,1.7,2,0.5
Michael Massey,KCR,129,461,15,42,55,6,5.20%,21.50%,0.152,0.261,0.229,0.274,0.381,0.283,0.32,73,2.1,-12.8,2.4,0.5
Rafael Ortega,NYM,47,136,1,16,8,6,14.70%,24.30%,0.053,0.3,0.219,0.341,0.272,0.288,0.286,83,2.6,-0.3,0.8,0.5
Christian Encarnacion-St...,CIN,63,241,13,29,37,2,5.80%,28.60%,0.207,0.336,0.27,0.328,0.477,0.346,0.347,112,-2.4,1.3,-4.4,0.5
Alek Thomas,ARI,125,402,9,51,39,9,4.70%,21.40%,0.144,0.273,0.23,0.273,0.374,0.278,0.29,71,3.7,-10.6,1.9,0.5
James McCann,BAL,70,226,6,25,26,3,4.00%,25.20%,0.155,0.274,0.222,0.269,0.377,0.279,0.319,77,-0.7,-7,4.2,0.5
Matthew Batten,SDP,43,139,2,19,11,2,12.20%,21.60%,0.1,0.33,0.258,0.355,0.358,0.321,0.27,106,1.4,2.4,-2.2,0.5
Brian Anderson,MIL,96,361,9,38,40,1,10.00%,29.90%,0.142,0.309,0.226,0.31,0.368,0.299,0.315,85,-2.8,-9.4,2,0.5
Cristian Pache,PHI,48,95,2,12,11,2,10.50%,28.40%,0.179,0.327,0.238,0.319,0.417,0.32,0.312,99,-0.6,-0.7,2.3,0.5
Connor Wong,BOS,126,403,9,55,36,8,5.50%,33.30%,0.151,0.341,0.235,0.288,0.385,0.292,0.274,78,1.1,-9.7,0.8,0.5
Rougned Odor,SDP,59,157,4,21,18,2,10.80%,23.60%,0.152,0.247,0.203,0.299,0.355,0.291,0.318,86,1.6,-1.2,0.6,0.5
Pablo Reyes,BOS,64,185,2,27,20,7,7.60%,11.40%,0.09,0.315,0.287,0.339,0.377,0.315,0.317,93,0.9,-0.7,-1,0.5
Jorge Mateo,BAL,116,350,7,58,34,32,6.30%,23.40%,0.123,0.267,0.217,0.267,0.34,0.265,0.292,67,4.3,-9.5,2.2,0.5
Sean Bouchard,COL,21,43,4,11,7,0,9.30%,32.60%,0.368,0.381,0.316,0.372,0.684,0.432,0.372,160,-0.4,2.8,0.2,0.4
Robbie Grossman,TEX,115,420,10,56,49,1,13.60%,23.30%,0.156,0.292,0.238,0.34,0.394,0.323,0.306,102,1.3,2.4,-12.2,0.4
Brandon Crawford,SFG,94,320,7,31,38,3,8.80%,25.30%,0.12,0.241,0.194,0.273,0.314,0.26,0.293,63,0.9,-13.7,7.1,0.4
Richie Palacios,STL,32,102,6,9,16,2,5.90%,10.80%,0.258,0.234,0.258,0.307,0.516,0.346,0.309,120,0.4,2.8,-2,0.4
Manuel Margot,TBR,99,336,4,39,38,9,5.40%,16.40%,0.113,0.306,0.264,0.31,0.376,0.299,0.304,93,-1.7,-4.5,-2.7,0.4
Victor Robles,WSN,36,126,0,15,8,8,8.70%,14.30%,0.065,0.36,0.299,0.385,0.364,0.338,0.321,112,2.5,4.3,-4.3,0.4
Forrest Wall,ATL,15,15,1,6,2,5,13.30%,26.70%,0.385,0.625,0.462,0.533,0.846,0.569,0.22,265,1,4.1,-0.4,0.4
Tim Locastro,NYM,43,67,2,13,3,6,4.50%,32.80%,0.161,0.344,0.232,0.338,0.393,0.327,0.312,109,1.7,2.4,-0.4,0.4
Eloy Jiménez,CHW,120,489,18,50,64,0,6.10%,19.00%,0.169,0.305,0.272,0.317,0.441,0.325,0.313,105,-2.7,0.3,-12.7,0.4
Tyler Heineman,2 Tms,22,47,0,5,3,1,17.00%,17.00%,0.079,0.3,0.237,0.383,0.316,0.325,0.333,107,1,1.3,1.2,0.4
Edward Olivares,KCR,107,385,12,47,36,11,5.70%,16.60%,0.189,0.289,0.263,0.317,0.452,0.329,0.34,105,-0.6,1.6,-10.6,0.4
Trevor Larnach,MIN,58,212,8,26,40,1,12.70%,34.00%,0.202,0.295,0.213,0.311,0.415,0.313,0.323,99,0.6,0.5,-3.6,0.4
Billy McKinney,NYY,48,147,6,19,14,1,11.60%,26.50%,0.18,0.274,0.227,0.32,0.406,0.315,0.346,101,0.7,0.9,-2,0.4
Gio Urshela,LAA,62,228,2,22,24,3,4.40%,15.80%,0.075,0.346,0.299,0.329,0.374,0.307,0.288,92,-1.7,-4,0.1,0.4
Nick Martini,CIN,29,79,6,10,16,0,6.30%,19.00%,0.319,0.255,0.264,0.329,0.583,0.382,0.353,136,-0.3,3.2,-2.1,0.4
Andruw Monasterio,MIL,92,315,3,38,27,7,8.90%,21.00%,0.089,0.326,0.259,0.33,0.348,0.302,0.307,88,-3.2,-8.1,1.2,0.4
Gabriel Arias,CLE,122,345,10,36,26,3,8.10%,32.80%,0.143,0.29,0.21,0.275,0.352,0.276,0.303,74,-1.7,-12.4,4.5,0.4
Josh Bell,2 Tms,150,617,22,52,74,0,10.20%,21.70%,0.172,0.287,0.247,0.325,0.419,0.323,0.346,105,-5,-1.4,-15.8,0.4
Jace Peterson,2 Tms,134,430,6,35,37,15,10.90%,23.50%,0.096,0.27,0.211,0.304,0.307,0.275,0.285,74,1.8,-11.6,0.7,0.4
Alex Call,WSN,128,439,8,43,38,9,12.10%,17.80%,0.107,0.23,0.2,0.307,0.307,0.28,0.298,73,0.3,-14.7,3.5,0.4
Nick Loftin,KCR,19,68,0,10,10,2,5.90%,17.60%,0.113,0.392,0.323,0.368,0.435,0.348,0.299,118,0.6,2,-0.6,0.4
Garrett Mitchell,MIL,19,73,3,10,7,1,9.60%,35.60%,0.2,0.351,0.246,0.315,0.446,0.326,0.281,103,0.5,0.8,0.4,0.4
Riley Adams,WSN,44,158,4,8,21,0,7.00%,28.50%,0.203,0.368,0.273,0.331,0.476,0.344,0.281,116,-0.4,2.7,-4.5,0.4
Myles Straw,CLE,147,518,1,52,29,20,8.10%,18.70%,0.058,0.295,0.238,0.301,0.297,0.268,0.275,69,4.2,-15,0.9,0.4
Austin Wells,NYY,19,75,4,8,13,0,4.00%,18.70%,0.257,0.226,0.229,0.257,0.486,0.309,0.367,97,-0.1,-0.3,1.3,0.4
Ryan McKenna,BAL,89,139,2,23,18,5,6.50%,28.80%,0.107,0.354,0.254,0.316,0.361,0.298,0.271,90,0.6,-1,-0.3,0.3
Ronny Mauricio,NYM,26,108,2,11,9,7,6.50%,28.70%,0.099,0.338,0.248,0.296,0.347,0.284,0.287,80,2.1,-0.6,0.4,0.3
Garrett Cooper,2 Tms,123,457,17,42,61,0,6.80%,28.90%,0.168,0.324,0.251,0.304,0.419,0.313,0.318,96,-4.1,-6.4,-5.7,0.3
Reese McGuire,BOS,72,206,1,15,16,2,5.30%,25.70%,0.091,0.366,0.267,0.31,0.358,0.293,0.238,78,-2.1,-7.5,3.9,0.3
Sam Haggerty,SEA,52,108,1,13,5,10,13.90%,15.70%,0.088,0.301,0.253,0.364,0.341,0.321,0.322,108,3,4,-4.6,0.3
Oneil Cruz,PIT,9,40,1,7,4,3,17.50%,20.00%,0.125,0.292,0.25,0.375,0.375,0.335,0.324,109,1.2,1.6,0.1,0.3
Matt Thaiss,LAA,95,307,9,32,31,2,11.70%,27.00%,0.126,0.272,0.214,0.319,0.34,0.295,0.329,84,-1.2,-7.2,-0.2,0.3
Paul DeJong,3 Tms,112,400,14,41,38,4,5.30%,30.30%,0.148,0.264,0.207,0.258,0.355,0.266,0.278,66,-3.8,-20.4,9.8,0.3
Jordan Luplow,2 Tms,39,90,2,11,5,2,13.30%,30.00%,0.117,0.292,0.208,0.322,0.325,0.29,0.271,83,1.4,-0.4,0.3,0.3
Greg Allen,NYY,22,28,1,6,1,3,7.10%,35.70%,0.261,0.333,0.217,0.333,0.478,0.349,0.2,125,0.6,1.5,0.5,0.3
Jonny DeLuca,LAD,24,45,2,5,6,1,6.70%,17.80%,0.167,0.281,0.262,0.311,0.429,0.32,0.272,102,0.4,0.5,0.9,0.3
Emmanuel Rivera,ARI,86,283,4,32,29,1,7.80%,19.80%,0.097,0.313,0.261,0.314,0.358,0.295,0.307,83,-1.5,-7.4,0.7,0.3
Adam Frazier,BAL,141,455,13,59,60,11,7.00%,14.90%,0.155,0.258,0.24,0.3,0.396,0.302,0.301,93,2.1,-1.7,-10.9,0.3
Xavier Edwards,MIA,30,84,0,12,3,5,3.60%,16.70%,0.038,0.359,0.295,0.329,0.333,0.295,0.269,82,1.8,0,-0.1,0.3
Miles Mastrobuoni,CHC,61,149,1,24,5,13,8.70%,21.50%,0.06,0.31,0.241,0.308,0.301,0.275,0.302,71,3.6,-1.8,-0.5,0.3
Enmanuel Valdez,BOS,49,149,6,17,19,5,5.40%,24.80%,0.187,0.323,0.266,0.311,0.453,0.328,0.301,102,0.2,0.6,-3,0.3
Jasson Domínguez,NYY,8,33,4,6,7,1,6.10%,24.20%,0.419,0.211,0.258,0.303,0.677,0.403,0.364,162,0.3,2.7,-1.2,0.3
Andrew Vaughn,CHW,152,615,21,67,80,0,5.90%,21.00%,0.171,0.299,0.258,0.314,0.429,0.321,0.317,103,-6.1,-4,-14.3,0.3
Michael Perez,NYM,3,8,0,1,0,0,0.00%,12.50%,0.125,0.571,0.5,0.5,0.625,0.486,0.366,216,0.1,1.2,1,0.2
Corey Julks,HOU,93,323,6,35,33,15,6.80%,23.20%,0.107,0.306,0.245,0.297,0.352,0.286,0.294,80,0.7,-7,-1.4,0.2
Logan O'Hoppe,LAA,51,199,14,23,29,0,7.00%,24.10%,0.264,0.24,0.236,0.296,0.5,0.337,0.352,113,-1.6,1.4,-5.7,0.2
Trevor Story,BOS,43,168,3,12,14,10,5.40%,32.70%,0.114,0.29,0.203,0.25,0.316,0.249,0.266,48,0.5,-10.1,6.8,0.2
Grae Kessinger,HOU,26,45,1,3,1,0,11.10%,26.70%,0.125,0.259,0.2,0.289,0.325,0.275,0.308,73,-0.6,-2.1,3,0.2
Seby Zavala,2 Tms,73,193,7,17,18,1,6.20%,36.30%,0.143,0.23,0.171,0.23,0.314,0.239,0.25,45,-1.3,-13.9,9.8,0.2
Michael Stefanic,LAA,25,71,0,5,6,0,11.30%,11.30%,0.065,0.333,0.29,0.38,0.355,0.332,0.298,109,-0.1,0.7,-0.7,0.2
Yu Chang,BOS,39,112,6,12,18,4,2.70%,30.40%,0.19,0.169,0.162,0.2,0.352,0.236,0.264,39,1.6,-6.6,5.2,0.2
Jo Adell,LAA,17,62,3,7,6,1,6.50%,40.30%,0.241,0.3,0.207,0.258,0.448,0.299,0.24,86,0.4,-0.6,0.8,0.2
Luke Maile,CIN,78,199,6,17,25,2,7.00%,24.60%,0.156,0.29,0.235,0.308,0.391,0.307,0.32,86,-3,-6.5,2,0.2
